количество детей,возраст,образование,education_id,семейный статус,family_status_id,пол,род деятельности,уровень дохода,цель кредита,просрочки
0,25,среднее,1,Не женат / не замужем,4,F,компаньон,82740,сделка с автомобилем,0
0,33,среднее,1,женат / замужем,0,F,сотрудник,110833,профильное образование,0
2,50,высшее,0,женат / замужем,0,F,сотрудник,161380,жилье,0
0,52,среднее,1,женат / замужем,0,M,сотрудник,161380,жилье,0
0,53,среднее,1,женат / замужем,0,F,госслужащий,255909,операции со своей недвижимостью,0
0,30,среднее,1,женат / замужем,0,M,сотрудник,54123,высшее образование,0
0,64,среднее,1,гражданский брак,1,M,пенсионер,243033,свадьба,0
0,53,среднее,1,женат / замужем,0,F,пенсионер,74363,покупка жилья для сдачи,0
0,63,высшее,0,гражданский брак,1,F,пенсионер,206872,на проведение свадьбы,0
0,42,среднее,1,гражданский брак,1,F,компаньон,49463,сделка с подержанным автомобилем,0
2,35,высшее,0,женат / замужем,0,F,сотрудник,161380,операции с жильем,0
2,39,среднее,1,женат / замужем,0,F,сотрудник,155886,покупка недвижимости,0
1,40,высшее,0,гражданский брак,1,F,сотрудник,191397,сыграть свадьбу,0
1,32,среднее,1,женат / замужем,0,M,сотрудник,331139,сделка с автомобилем,1
1,34,высшее,0,гражданский брак,1,F,компаньон,202417,на проведение свадьбы,0
0,51,высшее,0,женат / замужем,0,F,сотрудник,94187,автомобиль,0
0,44,среднее,1,женат / замужем,0,F,сотрудник,161380,покупка жилой недвижимости,0
0,47,высшее,0,женат / замужем,0,F,сотрудник,161380,профильное образование,0
0,54,высшее,0,женат / замужем,0,F,пенсионер,199707,покупка жилья для сдачи,0
0,49,среднее,1,вдовец / вдова,2,F,сотрудник,176384,операции с недвижимостью,1
0,65,среднее,1,женат / замужем,0,F,пенсионер,157970,на покупку своего автомобиля,0
0,51,среднее,1,гражданский брак,1,F,компаньон,126706,на покупку подержанного автомобиля,0
1,39,среднее,1,Не женат / не замужем,4,F,сотрудник,142231,строительство недвижимости,0
0,59,среднее,1,Не женат / не замужем,4,F,пенсионер,163581,покупка жилья для сдачи,0
0,62,среднее,1,вдовец / вдова,2,F,сотрудник,76884,строительство собственной недвижимости,0
1,29,среднее,1,гражданский брак,1,F,сотрудник,171871,образование,0
0,24,высшее,0,гражданский брак,1,F,компаньон,202988,строительство собственной недвижимости,0
2,33,высшее,0,гражданский брак,1,F,сотрудник,180051,сделка с подержанным автомобилем,0
0,59,среднее,1,женат / замужем,0,F,сотрудник,107643,образование,0
0,41,среднее,1,женат / замужем,0,M,госслужащий,118551,покупка жилья,0
0,61,среднее,1,Не женат / не замужем,4,F,компаньон,173896,недвижимость,0
1,28,высшее,0,женат / замужем,0,M,сотрудник,280934,недвижимость,0
0,52,среднее,1,женат / замужем,0,F,госслужащий,120655,образование,0
0,26,высшее,0,женат / замужем,0,F,сотрудник,143471,операции со своей недвижимостью,1
1,38,высшее,0,женат / замужем,0,F,госслужащий,97848,операции с коммерческой недвижимостью,0
1,50,среднее,1,женат / замужем,0,M,сотрудник,83366,покупка жилой недвижимости,0
0,41,среднее,1,в разводе,3,F,сотрудник,178975,на покупку автомобиля,0
2,33,среднее,1,гражданский брак,1,M,компаньон,113572,на проведение свадьбы,0
0,60,среднее,1,Не женат / не замужем,4,F,пенсионер,31534,покупка коммерческой недвижимости,0
0,46,среднее,1,женат / замужем,0,F,сотрудник,161380,высшее образование,0
0,29,высшее,0,женат / замужем,0,F,компаньон,202417,автомобиль,0
0,55,высшее,0,женат / замужем,0,F,компаньон,103628,автомобили,0
2,39,среднее,1,женат / замужем,0,M,сотрудник,83892,покупка жилья для сдачи,0
0,38,среднее,1,женат / замужем,0,F,сотрудник,175046,операции с коммерческой недвижимостью,1
0,64,высшее,0,гражданский брак,1,F,компаньон,186408,свадьба,0
1,49,среднее,1,женат / замужем,0,M,компаньон,339517,строительство собственной недвижимости,0
0,43,высшее,0,Не женат / не замужем,4,F,сотрудник,203279,строительство жилой недвижимости,0
0,67,среднее,1,в разводе,3,F,пенсионер,112331,сделка с автомобилем,0
0,61,среднее,1,гражданский брак,1,M,пенсионер,103644,автомобиль,0
0,42,среднее,1,женат / замужем,0,F,компаньон,95845,операции со своей недвижимостью,0
0,58,среднее,1,женат / замужем,0,M,сотрудник,73637,получение дополнительного образования,0
1,45,среднее,1,женат / замужем,0,M,сотрудник,246227,автомобиль,0
0,64,среднее,1,женат / замужем,0,F,пенсионер,79047,образование,0
1,46,неоконченное высшее,2,в разводе,3,F,сотрудник,166015,покупка жилой недвижимости,0
0,27,среднее,1,женат / замужем,0,M,компаньон,202417,жилье,0
0,60,начальное,3,женат / замужем,0,M,пенсионер,113124,операции со своей недвижимостью,0
1,28,высшее,0,гражданский брак,1,M,сотрудник,269423,сыграть свадьбу,0
0,43,среднее,1,женат / замужем,0,F,госслужащий,119827,покупка своего жилья,0
0,29,неоконченное высшее,2,женат / замужем,0,M,компаньон,196932,ремонт жилью,0
0,24,среднее,1,гражданский брак,1,F,сотрудник,102110,покупка коммерческой недвижимости,0
0,39,среднее,1,гражданский брак,1,M,сотрудник,161380,свадьба,0
0,54,среднее,1,женат / замужем,0,F,пенсионер,108280,сделка с подержанным автомобилем,0
0,48,среднее,1,вдовец / вдова,2,F,сотрудник,151069,строительство собственной недвижимости,0
1,45,среднее,1,гражданский брак,1,F,сотрудник,284248,свой автомобиль,0
0,62,среднее,1,женат / замужем,0,M,пенсионер,137127,строительство недвижимости,0
0,46,среднее,1,женат / замужем,0,F,сотрудник,98709,покупка жилья,0
0,47,среднее,1,женат / замужем,0,F,госслужащий,74535,операции с недвижимостью,1
0,37,среднее,1,женат / замужем,0,F,сотрудник,145159,на покупку своего автомобиля,0
0,71,среднее,1,гражданский брак,1,F,пенсионер,174088,сыграть свадьбу,0
0,37,высшее,0,гражданский брак,1,F,компаньон,463089,сыграть свадьбу,0
1,39,среднее,1,женат / замужем,0,F,компаньон,40891,покупка своего жилья,0
1,20,среднее,1,женат / замужем,0,M,компаньон,134750,жилье,1
1,41,высшее,0,вдовец / вдова,2,F,сотрудник,143113,операции с коммерческой недвижимостью,0
0,40,среднее,1,женат / замужем,0,F,компаньон,70788,дополнительное образование,0
0,65,среднее,1,женат / замужем,0,M,пенсионер,261291,получение дополнительного образования,0
0,38,среднее,1,женат / замужем,0,F,пенсионер,113560,сделка с автомобилем,1
0,56,среднее,1,женат / замужем,0,F,сотрудник,80547,образование,0
0,59,среднее,1,Не женат / не замужем,4,F,пенсионер,149542,на покупку своего автомобиля,0
0,45,среднее,1,гражданский брак,1,M,сотрудник,198386,покупка жилья для сдачи,0
1,39,высшее,0,женат / замужем,0,F,сотрудник,87107,приобретение автомобиля,0
0,62,среднее,1,женат / замужем,0,M,сотрудник,66577,получение дополнительного образования,0
0,50,среднее,1,женат / замужем,0,M,сотрудник,78975,ремонт жилью,0
2,27,высшее,0,женат / замужем,0,F,сотрудник,369587,на покупку своего автомобиля,1
2,32,высшее,0,женат / замужем,0,M,госслужащий,228289,покупка жилья,0
0,38,среднее,1,гражданский брак,1,M,сотрудник,144073,операции с жильем,0
0,56,среднее,1,гражданский брак,1,F,госслужащий,220719,на проведение свадьбы,0
0,67,среднее,1,вдовец / вдова,2,F,пенсионер,139038,покупка своего жилья,0
0,58,среднее,1,гражданский брак,1,F,пенсионер,167861,приобретение автомобиля,0
0,28,высшее,0,Не женат / не замужем,4,M,сотрудник,121721,жилье,0
0,60,среднее,1,гражданский брак,1,F,компаньон,225197,на проведение свадьбы,0
0,49,среднее,1,женат / замужем,0,F,сотрудник,182980,строительство недвижимости,0
0,49,среднее,1,женат / замужем,0,M,компаньон,416461,покупка коммерческой недвижимости,0
0,55,высшее,0,вдовец / вдова,2,F,компаньон,202417,свой автомобиль,0
2,38,среднее,1,женат / замужем,0,F,сотрудник,141210,строительство недвижимости,0
0,60,среднее,1,женат / замужем,0,F,пенсионер,104621,заняться высшим образованием,0
2,48,среднее,1,женат / замужем,0,M,госслужащий,173074,сделка с подержанным автомобилем,0
0,59,среднее,1,вдовец / вдова,2,F,пенсионер,87268,приобретение автомобиля,0
0,43,среднее,1,Не женат / не замужем,4,F,сотрудник,177790,покупка своего жилья,0
0,37,среднее,1,гражданский брак,1,F,сотрудник,212257,сыграть свадьбу,0
0,26,среднее,1,гражданский брак,1,F,компаньон,202417,покупка жилья для семьи,1
1,49,среднее,1,гражданский брак,1,F,сотрудник,81419,свадьба,0
1,35,высшее,0,гражданский брак,1,M,компаньон,272193,получение дополнительного образования,1
0,57,высшее,0,женат / замужем,0,M,пенсионер,141337,покупка жилья для сдачи,0
0,32,среднее,1,гражданский брак,1,M,сотрудник,160905,получение дополнительного образования,1
0,34,среднее,1,в разводе,3,F,сотрудник,201650,операции с коммерческой недвижимостью,0
0,46,высшее,0,гражданский брак,1,F,сотрудник,260037,высшее образование,0
0,48,среднее,1,женат / замужем,0,M,сотрудник,173544,покупка своего жилья,0
1,30,среднее,1,Не женат / не замужем,4,F,сотрудник,161380,свой автомобиль,0
0,26,среднее,1,гражданский брак,1,M,компаньон,160891,на проведение свадьбы,0
0,60,среднее,1,женат / замужем,0,F,пенсионер,173948,высшее образование,0
0,47,среднее,1,женат / замужем,0,M,сотрудник,218442,свой автомобиль,0
0,60,высшее,0,в разводе,3,F,пенсионер,97191,на покупку подержанного автомобиля,0
0,24,среднее,1,гражданский брак,1,M,компаньон,135860,получение образования,0
0,51,среднее,1,женат / замужем,0,F,сотрудник,255838,дополнительное образование,0
0,37,высшее,0,женат / замужем,0,F,компаньон,160754,покупка своего жилья,0
0,59,высшее,0,женат / замужем,0,F,сотрудник,140849,покупка недвижимости,0
0,52,среднее,1,Не женат / не замужем,4,F,компаньон,139169,на покупку своего автомобиля,0
1,23,среднее,1,вдовец / вдова,2,F,сотрудник,58549,сделка с подержанным автомобилем,0
0,41,среднее,1,гражданский брак,1,F,сотрудник,201126,строительство недвижимости,0
0,39,среднее,1,женат / замужем,0,F,компаньон,86996,покупка жилой недвижимости,0
1,38,среднее,1,женат / замужем,0,F,сотрудник,90960,покупка жилой недвижимости,1
0,56,среднее,1,женат / замужем,0,M,сотрудник,163774,строительство собственной недвижимости,0
0,61,среднее,1,женат / замужем,0,F,пенсионер,181307,строительство жилой недвижимости,0
1,31,высшее,0,женат / замужем,0,F,сотрудник,161380,на покупку подержанного автомобиля,0
0,54,среднее,1,женат / замужем,0,F,пенсионер,267172,получение образования,0
0,37,среднее,1,Не женат / не замужем,4,F,сотрудник,112735,покупка своего жилья,0
0,22,среднее,1,гражданский брак,1,M,компаньон,162492,профильное образование,0
2,38,высшее,0,женат / замужем,0,F,сотрудник,195133,операции с коммерческой недвижимостью,0
2,55,начальное,3,вдовец / вдова,2,F,пенсионер,160635,строительство жилой недвижимости,0
0,41,начальное,3,гражданский брак,1,F,сотрудник,36649,сделка с подержанным автомобилем,0
0,48,высшее,0,Не женат / не замужем,4,M,госслужащий,239697,приобретение автомобиля,0
1,38,высшее,0,гражданский брак,1,M,сотрудник,231389,на покупку автомобиля,1
2,41,неоконченное высшее,2,женат / замужем,0,F,сотрудник,314546,покупка жилья для семьи,0
0,42,высшее,0,Не женат / не замужем,4,F,компаньон,260465,операции с недвижимостью,0
0,22,высшее,0,гражданский брак,1,F,сотрудник,118757,образование,0
0,54,среднее,1,гражданский брак,1,F,пенсионер,269589,строительство собственной недвижимости,0
1,34,среднее,1,женат / замужем,0,F,сотрудник,213214,на покупку своего автомобиля,1
0,21,неоконченное высшее,2,гражданский брак,1,F,компаньон,86954,операции с коммерческой недвижимостью,0
1,23,неоконченное высшее,2,гражданский брак,1,F,компаньон,202417,сыграть свадьбу,0
0,65,среднее,1,вдовец / вдова,2,F,пенсионер,178464,автомобили,0
0,32,высшее,0,женат / замужем,0,M,компаньон,188982,покупка жилой недвижимости,0
0,61,среднее,1,в разводе,3,F,пенсионер,110251,операции с коммерческой недвижимостью,0
2,41,среднее,1,женат / замужем,0,F,компаньон,94587,покупка своего жилья,0
0,52,среднее,1,женат / замужем,0,F,сотрудник,153892,строительство недвижимости,0
1,30,среднее,1,женат / замужем,0,F,госслужащий,132754,получение высшего образования,0
1,64,высшее,0,гражданский брак,1,F,сотрудник,142424,жилье,0
0,60,среднее,1,Не женат / не замужем,4,F,пенсионер,190426,ремонт жилью,0
0,73,среднее,1,вдовец / вдова,2,F,пенсионер,136897,сделка с подержанным автомобилем,0
1,28,среднее,1,гражданский брак,1,M,компаньон,188585,свадьба,1
1,41,среднее,1,женат / замужем,0,F,сотрудник,112090,покупка жилья для семьи,1
0,49,среднее,1,гражданский брак,1,F,сотрудник,74616,свадьба,0
1,50,среднее,1,женат / замужем,0,F,сотрудник,143391,на покупку автомобиля,0
0,52,среднее,1,Не женат / не замужем,4,F,сотрудник,140447,профильное образование,0
0,50,среднее,1,женат / замужем,0,F,сотрудник,125165,жилье,0
0,59,среднее,1,женат / замужем,0,F,пенсионер,142956,на покупку автомобиля,0
2,37,среднее,1,женат / замужем,0,M,сотрудник,202689,покупка недвижимости,0
0,44,среднее,1,гражданский брак,1,F,сотрудник,235437,на проведение свадьбы,0
0,43,среднее,1,женат / замужем,0,M,сотрудник,436688,операции с недвижимостью,0
0,47,среднее,1,вдовец / вдова,2,F,компаньон,132797,покупка коммерческой недвижимости,0
0,47,среднее,1,женат / замужем,0,M,сотрудник,161380,строительство собственной недвижимости,0
0,58,среднее,1,женат / замужем,0,F,госслужащий,170898,покупка своего жилья,0
0,49,высшее,0,гражданский брак,1,M,компаньон,383743,свадьба,0
0,48,среднее,1,гражданский брак,1,F,сотрудник,130945,высшее образование,0
0,50,среднее,1,в разводе,3,M,сотрудник,197169,покупка жилой недвижимости,0
1,40,среднее,1,женат / замужем,0,F,компаньон,158350,строительство недвижимости,0
1,60,высшее,0,женат / замужем,0,F,пенсионер,137127,заняться высшим образованием,1
0,31,среднее,1,женат / замужем,0,M,сотрудник,259511,покупка жилой недвижимости,0
0,29,высшее,0,женат / замужем,0,F,сотрудник,188190,получение высшего образования,0
0,54,высшее,0,женат / замужем,0,F,сотрудник,161380,сделка с подержанным автомобилем,0
0,71,среднее,1,вдовец / вдова,2,F,пенсионер,138877,покупка коммерческой недвижимости,0
1,35,среднее,1,женат / замужем,0,F,компаньон,230040,покупка жилья,0
0,63,среднее,1,вдовец / вдова,2,F,пенсионер,91947,получение высшего образования,0
2,44,высшее,0,женат / замужем,0,F,компаньон,327126,жилье,0
0,45,среднее,1,женат / замужем,0,M,сотрудник,119879,покупка жилья,0
0,52,среднее,1,женат / замужем,0,F,сотрудник,82913,дополнительное образование,0
0,49,высшее,0,женат / замужем,0,M,сотрудник,204544,операции с жильем,0
1,47,среднее,1,гражданский брак,1,M,сотрудник,149082,свадьба,0
0,29,высшее,0,гражданский брак,1,F,сотрудник,211975,свадьба,0
1,29,среднее,1,гражданский брак,1,F,компаньон,286533,покупка жилья для семьи,0
0,51,среднее,1,женат / замужем,0,F,компаньон,143913,операции с жильем,0
0,44,среднее,1,женат / замужем,0,F,сотрудник,168586,покупка недвижимости,0
0,52,среднее,1,женат / замужем,0,F,пенсионер,75225,строительство жилой недвижимости,0
2,40,среднее,1,в разводе,3,F,сотрудник,161380,недвижимость,0
2,48,среднее,1,женат / замужем,0,M,компаньон,215985,строительство недвижимости,0
0,59,среднее,1,женат / замужем,0,F,пенсионер,93391,недвижимость,0
0,68,высшее,0,женат / замужем,0,F,пенсионер,161112,операции с коммерческой недвижимостью,0
2,29,высшее,0,Не женат / не замужем,4,M,сотрудник,266641,покупка жилья,0
2,37,среднее,1,женат / замужем,0,F,сотрудник,80334,на покупку подержанного автомобиля,1
0,66,среднее,1,вдовец / вдова,2,F,пенсионер,61441,автомобиль,0
0,35,начальное,3,гражданский брак,1,M,сотрудник,123814,заняться образованием,1
0,57,среднее,1,Не женат / не замужем,4,F,пенсионер,90523,заняться высшим образованием,0
2,25,среднее,1,гражданский брак,1,M,компаньон,330328,сыграть свадьбу,0
0,44,среднее,1,женат / замужем,0,F,сотрудник,47871,покупка коммерческой недвижимости,0
0,64,среднее,1,женат / замужем,0,F,сотрудник,160814,ремонт жилью,0
1,46,среднее,1,гражданский брак,1,M,сотрудник,122263,сыграть свадьбу,0
1,23,среднее,1,гражданский брак,1,F,сотрудник,161380,автомобиль,1
0,44,среднее,1,гражданский брак,1,F,сотрудник,161380,операции со своей недвижимостью,0
0,66,среднее,1,женат / замужем,0,F,пенсионер,137127,операции с жильем,0
1,44,среднее,1,женат / замужем,0,M,компаньон,207375,ремонт жилью,0
2,33,среднее,1,женат / замужем,0,M,сотрудник,231068,покупка жилья,0
0,56,среднее,1,вдовец / вдова,2,F,пенсионер,162416,на покупку своего автомобиля,0
0,63,высшее,0,женат / замужем,0,F,сотрудник,103078,автомобили,0
0,50,среднее,1,женат / замужем,0,M,компаньон,81863,заняться высшим образованием,1
0,45,среднее,1,женат / замужем,0,F,сотрудник,104614,на покупку подержанного автомобиля,0
0,47,среднее,1,женат / замужем,0,M,сотрудник,143042,покупка своего жилья,1
0,28,среднее,1,женат / замужем,0,F,сотрудник,86117,строительство собственной недвижимости,0
1,44,среднее,1,женат / замужем,0,F,сотрудник,153439,ремонт жилью,0
0,35,среднее,1,женат / замужем,0,M,компаньон,160483,получение дополнительного образования,0
1,46,среднее,1,гражданский брак,1,F,сотрудник,102816,профильное образование,0
0,56,среднее,1,женат / замужем,0,F,сотрудник,133383,недвижимость,0
0,65,среднее,1,женат / замужем,0,F,пенсионер,169009,недвижимость,0
4,36,высшее,0,гражданский брак,1,F,сотрудник,335024,свадьба,0
0,27,среднее,1,гражданский брак,1,F,компаньон,112633,на покупку подержанного автомобиля,0
0,43,высшее,0,женат / замужем,0,F,сотрудник,203323,покупка жилья для сдачи,0
0,45,среднее,1,женат / замужем,0,F,сотрудник,143383,строительство недвижимости,1
1,44,среднее,1,женат / замужем,0,F,компаньон,111147,сделка с подержанным автомобилем,0
0,28,высшее,0,женат / замужем,0,F,сотрудник,235583,операции с коммерческой недвижимостью,0
1,33,среднее,1,гражданский брак,1,M,сотрудник,223001,на проведение свадьбы,0
0,53,среднее,1,женат / замужем,0,M,сотрудник,174396,строительство недвижимости,1
2,49,начальное,3,гражданский брак,1,F,сотрудник,194077,покупка коммерческой недвижимости,0
2,25,среднее,1,Не женат / не замужем,4,F,госслужащий,63048,дополнительное образование,0
0,66,среднее,1,женат / замужем,0,F,пенсионер,92974,операции с коммерческой недвижимостью,0
2,36,среднее,1,в разводе,3,F,сотрудник,45033,недвижимость,1
0,61,среднее,1,женат / замужем,0,F,компаньон,138248,строительство жилой недвижимости,0
0,22,среднее,1,Не женат / не замужем,4,F,госслужащий,127677,операции с коммерческой недвижимостью,0
0,28,высшее,0,женат / замужем,0,M,госслужащий,261111,ремонт жилью,0
0,63,среднее,1,вдовец / вдова,2,F,пенсионер,102001,недвижимость,0
0,49,среднее,1,женат / замужем,0,M,компаньон,156281,покупка жилой недвижимости,0
0,44,среднее,1,женат / замужем,0,F,пенсионер,47457,заняться высшим образованием,0
1,33,среднее,1,гражданский брак,1,M,сотрудник,161380,покупка жилья для сдачи,1
0,35,среднее,1,женат / замужем,0,M,компаньон,325440,дополнительное образование,1
2,39,среднее,1,женат / замужем,0,M,сотрудник,111385,покупка недвижимости,0
0,61,среднее,1,женат / замужем,0,F,пенсионер,145978,образование,0
0,34,среднее,1,Не женат / не замужем,4,M,госслужащий,202125,покупка жилья для семьи,0
0,21,высшее,0,Не женат / не замужем,4,M,сотрудник,161380,сделка с автомобилем,0
0,35,высшее,0,женат / замужем,0,M,компаньон,310574,свой автомобиль,0
0,55,высшее,0,женат / замужем,0,F,сотрудник,423422,строительство жилой недвижимости,0
0,63,среднее,1,вдовец / вдова,2,F,сотрудник,161380,на покупку подержанного автомобиля,0
1,34,высшее,0,гражданский брак,1,M,компаньон,202417,на проведение свадьбы,0
0,56,среднее,1,гражданский брак,1,F,пенсионер,137127,сыграть свадьбу,1
0,64,среднее,1,женат / замужем,0,M,компаньон,227706,покупка жилья для сдачи,0
0,42,высшее,0,женат / замужем,0,M,госслужащий,320700,операции с коммерческой недвижимостью,0
0,29,среднее,1,женат / замужем,0,M,сотрудник,156680,покупка жилой недвижимости,0
0,55,среднее,1,в разводе,3,F,пенсионер,92673,покупка недвижимости,0
0,27,начальное,3,женат / замужем,0,M,сотрудник,147989,покупка коммерческой недвижимости,0
0,69,среднее,1,вдовец / вдова,2,F,сотрудник,161380,приобретение автомобиля,0
0,50,среднее,1,женат / замужем,0,F,компаньон,249539,покупка жилой недвижимости,0
1,42,среднее,1,Не женат / не замужем,4,F,компаньон,175328,покупка жилья,0
0,43,среднее,1,вдовец / вдова,2,F,сотрудник,148790,свой автомобиль,0
0,28,высшее,0,женат / замужем,0,F,сотрудник,290515,высшее образование,0
0,57,среднее,1,женат / замужем,0,M,компаньон,230292,на покупку подержанного автомобиля,0
1,32,среднее,1,Не женат / не замужем,4,F,сотрудник,220815,свой автомобиль,0
