марка,модель кузова,километраж,объем двигателя,тип двигателя,регистрация,год,модель,привод,цена
Nissan,hatch,24,2.6290927510130397,Other,yes,2013,Leaf,front,17300.0
Volkswagen,sedan,147,2.0,Petrol,yes,2007,Passat B6,front,10700.0
Audi,vagon,273,2.5,Diesel,no,1999,A6,front,2600.0
Chrysler,sedan,70,2.4,Petrol,yes,2008,Sebring,front,13700.0
Volkswagen,sedan,120,2.0,Petrol,yes,2008,Passat B6,front,8999.0
Jaguar,sedan,82,3.0,Petrol,yes,2008,XF,rear,18777.0
Audi,sedan,37,2.8,Petrol,yes,2012,A6,full,37000.0
Mercedes-Benz,van,19,3.5,Petrol,yes,2013,Sprinter 324 ïàññ.,rear,200000.0
Audi,vagon,215,2.5,Diesel,no,2002,A6,front,3850.0
Nissan,hatch,12,2.6290927510130397,Other,yes,2013,Leaf,front,13275.0
Mercedes-Benz,sedan,190,1.8,Gas,yes,2011,E-Class,rear,20400.0
BMW,sedan,300,2.5,Diesel,no,1997,5 Series,rear,1900.0
Mercedes-Benz,crossover,0,2.99,Diesel,yes,2016,GLE-Class,full,99999.0
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,70999.0
BMW,crossover,1,2.0,Diesel,yes,2016,X5,full,63500.0
BMW,crossover,30,2.0,Diesel,yes,2016,X5,full,59900.0
Mitsubishi,crossover,110,2.4,Petrol,yes,2006,Outlander,full,9200.0
Nissan,crossover,0,1.6,Petrol,yes,2015,Juke,front,20241.897
Mercedes-Benz,vagon,212,2.2,Diesel,yes,2008,E-Class,rear,14490.0
Volkswagen,sedan,120,1.9,Diesel,yes,2007,Passat B6,front,8999.0
Audi,sedan,240,2.5,Diesel,no,2000,A6,front,3650.0
Nissan,hatch,38,2.6290927510130397,Other,yes,2013,Leaf,front,17000.0
Mitsubishi,sedan,121,2.4,Gas,yes,2009,Galant,front,12000.0
Kia,crossover,0,1.7,Diesel,yes,2016,Sportage,front,20633.886
Porsche,crossover,105,3.0,Diesel,yes,2012,Cayenne,full,55000.0
Kia,crossover,64,2.0,Diesel,yes,2011,Sportage,full,18000.0
Kia,crossover,58,2.0,Diesel,yes,2012,Sportage,full,21700.0
Volkswagen,vagon,320,1.9,Diesel,no,2000,Passat B5,front,2400.0
Volkswagen,sedan,300,1.9,Diesel,no,1998,Passat B5,front,2350.0
Honda,vagon,98,2.4,Gas,yes,2011,Accord,front,18600.0
Mercedes-Benz,crossover,1,3.0,Diesel,yes,2016,GLE-Class,full,104999.0
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,195000.0
Porsche,crossover,73,3.0,Diesel,yes,2011,Cayenne,full,49900.0
Porsche,crossover,53,3.6,Petrol,yes,2013,Cayenne,full,50900.0
Porsche,crossover,1,2.99,Diesel,yes,2016,Cayenne,full,99999.0
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,102999.0
Audi,crossover,143,3.0,Diesel,yes,2010,Q7,full,35900.0
Honda,sedan,147,2.4,Petrol,yes,2009,Accord,front,16500.0
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,103999.0
Porsche,crossover,25,4.8,Petrol,yes,2013,Cayenne,full,114900.0
Porsche,crossover,160,4.8,Petrol,yes,2008,Cayenne,full,26500.0
Mitsubishi,crossover,140,2.4,Gas,yes,2007,Outlander XL,full,12999.0
Honda,sedan,52,3.5,Gas,yes,2014,Accord,front,30000.0
Porsche,crossover,135,4.8,Petrol,yes,2008,Cayenne,full,26900.0
Toyota,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,full,80000.0
BMW,sedan,260,2.2,Gas,yes,2001,520,rear,8500.0
Mercedes-Benz,van,197,2.2,Diesel,yes,2002,Vito ïàññ.,front,7000.0
Audi,crossover,145,3.0,Petrol,yes,2010,Q7,full,36000.0
Mercedes-Benz,van,280,2.2,Diesel,yes,2005,Vito ïàññ.,rear,9500.0
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,103999.0
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,100000.0
Mercedes-Benz,other,107,2.2,Diesel,yes,2010,Vito ïàññ.,front,16500.0
Toyota,sedan,120,3.5,Petrol,yes,2008,Camry,front,15500.0
Mercedes-Benz,van,191,2.2,Diesel,yes,2007,Vito ïàññ.,rear,10999.0
Audi,crossover,0,3.0,Diesel,yes,2015,Q7,full,88888.0
Mercedes-Benz,van,223,2.2,Diesel,yes,2009,Vito ïàññ.,rear,16500.0
Volkswagen,crossover,145,3.0,Diesel,yes,2007,Touareg,full,17900.0
Mercedes-Benz,sedan,190,1.8,Gas,yes,2011,E-Class,rear,20400.0
Volkswagen,crossover,115,2.5,Diesel,yes,2008,Touareg,full,20000.0
BMW,sedan,186,3.0,Petrol,yes,2007,530,rear,21000.0
Hyundai,sedan,65,1.4,Petrol,yes,2013,Accent,front,11800.0
Volkswagen,crossover,140,3.0,Diesel,yes,2012,Touareg,full,37990.0
BMW,vagon,240,3.0,Diesel,no,2001,530,rear,3900.0
Volkswagen,crossover,98,2.6290927510130397,Petrol,yes,2013,Touareg,full,33500.0
Hyundai,sedan,54,1.4,Petrol,yes,2013,Accent,front,9700.0
Mercedes-Benz,sedan,221,1.8,Gas,yes,2004,E-Class,rear,6200.0
Renault,vagon,185,1.5,Diesel,yes,2011,Megane,front,10500.0
Hyundai,crossover,105,1.6,Petrol,yes,2009,Accent,front,6900.0
Mercedes-Benz,sedan,198,1.8,Gas,yes,2011,E-Class,rear,20300.0
Audi,crossover,185,3.6,Petrol,yes,2008,Q7,full,18500.0
Toyota,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,73900.0
Toyota,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,full,30500.0
Toyota,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full,30800.0
Toyota,crossover,200,4.0,Petrol,yes,2007,Land Cruiser Prado,full,25500.0
Opel,vagon,231,2.0,Diesel,no,2005,Vectra C,front,3550.0
Toyota,crossover,0,4.5,Petrol,yes,2016,Land Cruiser 200,full,99999.0
Mercedes-Benz,crossover,0,2.98,Diesel,yes,2016,GLS 350,full,107999.0
Toyota,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,74999.0
Audi,crossover,118,2.0,Diesel,yes,2013,Q5,full,34000.0
BMW,sedan,214,1.9,Petrol,no,2000,318,rear,2850.0
Volkswagen,sedan,255,1.9,Diesel,no,2003,Passat B5,front,3250.0
Volkswagen,crossover,133,2.5,Diesel,yes,2007,Touareg,full,16900.0
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,99999.0
Chevrolet,sedan,106,1.6,Petrol,yes,2007,Lacetti,front,6800.0
Toyota,crossover,120,4.0,Petrol,yes,2007,Land Cruiser Prado,full,23400.0
Skoda,sedan,65,1.8,Petrol,yes,2013,Superb,front,17900.0
Toyota,crossover,62,3.0,Diesel,yes,2013,Land Cruiser Prado,full,37700.0
Land Rover,crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full,29500.0
Volkswagen,sedan,67,2.0,Diesel,yes,2013,Passat B7,front,30000.0
Mitsubishi,sedan,112,2.0,Petrol,yes,2008,Lancer X,front,7999.0
Land Rover,crossover,54,5.0,Petrol,yes,2012,Range Rover Sport,full,43500.0
Mercedes-Benz,crossover,0,3.0,Diesel,yes,2016,GLS 350,full,107777.0
Mitsubishi,sedan,91,1.5,Petrol,yes,2009,Lancer X,front,8400.0
Land Rover,vagon,52,2.2,Diesel,yes,2013,Range Rover Evoque,full,40000.0
Mercedes-Benz,crossover,0,2.98,Diesel,yes,2016,GLS 350,full,109999.0
Opel,sedan,254,2.2,Diesel,yes,2003,Vectra C,front,2780.0
Mercedes-Benz,other,51,3.0,Diesel,yes,2014,E-Class,rear,43500.0
Volkswagen,other,145,2.0,Diesel,yes,2011,T5 (Transporter) ãðóç,front,18700.0
Chevrolet,sedan,85,1.6,Gas,yes,2012,Lacetti,front,7800.0
BMW,crossover,156,4.4,Gas,no,2002,X5,full,6350.0
Daewoo,sedan,112,2.6290927510130397,Petrol,yes,2007,Lanos,front,3500.0
BMW,other,163,4.8,Petrol,yes,2008,X5,full,25500.0
Land Rover,crossover,69,3.5,Diesel,yes,2012,Range Rover Sport,full,53500.0
Nissan,crossover,59,2.0,Petrol,yes,2011,Qashqai,full,15999.0
Volkswagen,van,164,2.0,Diesel,yes,2013,T5 (Transporter) ãðóç,front,14499.0
Daewoo,sedan,70,1.5,Petrol,yes,2007,Lanos,front,4300.0
Mitsubishi,crossover,173,3.8,Gas,yes,2008,Pajero Wagon,full,18999.0
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,71999.0
Mitsubishi,crossover,135,3.0,Gas,yes,2009,Pajero Wagon,full,18500.0
Volkswagen,other,45,2.0,Diesel,yes,2013,Passat B7,front,18900.0
BMW,crossover,1,2.0,Diesel,yes,2016,X5,full,67500.0
BMW,crossover,1,2.5,Diesel,yes,2016,X5,full,67500.0
Land Rover,crossover,139,3.6,Diesel,yes,2008,Range Rover Sport,full,28999.0
Land Rover,crossover,43,5.0,Petrol,yes,2012,Range Rover Sport,full,49999.0
Toyota,sedan,139,3.5,Petrol,yes,2008,Camry,front,14700.0
Land Rover,crossover,57,3.0,Diesel,yes,2013,Range Rover Sport,full,53500.0
Daewoo,sedan,145,1.6,Petrol,yes,2008,Lanos,front,5600.0
Land Rover,crossover,0,3.0,Diesel,yes,2015,Range Rover Sport,full,78900.0
Skoda,hatch,64,1.8,Petrol,yes,2012,Octavia A5,front,13200.0
BMW,other,115,3.0,Diesel,yes,2011,X5,full,37200.0
Land Rover,other,174,3.6,Diesel,yes,2008,Range Rover,full,27500.0
Mazda,sedan,124,2.0,Petrol,yes,2007,3,front,9200.0
Mercedes-Benz,van,220,3.0,Diesel,yes,2012,Vito ãðóç.,rear,17500.0
Toyota,sedan,16,2.5,Petrol,yes,2013,Camry,front,24000.0
Land Rover,crossover,42,2.99,Diesel,yes,2014,Range Rover Sport,full,77777.0
Mazda,sedan,167,2.0,Petrol,yes,2007,6,front,8000.0
Lexus,crossover,39,5.7,Gas,yes,2013,LX 570,full,85999.0
Mercedes-Benz,sedan,3,3.0,Diesel,yes,1998,E-Class,front,2400.0
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,195000.0
Audi,vagon,242,99.99,Diesel,no,2004,A6,front,4600.0
Mitsubishi,crossover,127,3.0,Gas,yes,2008,Pajero Wagon,full,18900.0
Mercedes-Benz,crossover,0,2.99,Diesel,yes,2016,GLS 350,full,114999.0
Mercedes-Benz,crossover,0,3.0,Diesel,yes,2016,GLE-Class,full,103333.0
Toyota,crossover,107,4.0,Petrol,yes,2006,Land Cruiser Prado,full,20800.0
BMW,crossover,170,4.8,Gas,yes,2007,X5,full,24500.0
Toyota,sedan,157,2.4,Gas,yes,2007,Camry,front,12300.0
Mercedes-Benz,sedan,173,1.8,Gas,yes,2011,E-Class,rear,20500.0
BMW,sedan,193,4.4,Petrol,yes,2000,740,rear,11500.0
Mercedes-Benz,van,182,2.2,Diesel,yes,2011,Vito ãðóç.,rear,13200.0
BMW,crossover,235,3.0,Diesel,yes,2009,X5,full,29900.0
Mercedes-Benz,van,167,2.2,Diesel,yes,2013,Vito ãðóç.,rear,12500.0
Skoda,sedan,88,1.8,Petrol,yes,2012,Octavia A5,front,13999.0
Ford,crossover,68,2.5,Gas,yes,2010,Kuga,full,15500.0
Lexus,crossover,40,5.7,Petrol,yes,2014,LX 570,full,79500.0
Land Rover,other,155,3.6,Diesel,yes,2008,Range Rover Sport,full,30000.0
Lexus,sedan,179,3.0,Petrol,yes,2006,GS 300,full,16600.0
Toyota,sedan,71,2.4,Petrol,yes,2008,Camry,front,14300.0
Lexus,crossover,1,5.7,Petrol,yes,2008,LX 570,full,47000.0
Daewoo,sedan,130,1.5,Petrol,yes,2003,Lanos,front,3200.0
Audi,sedan,98,3.2,Petrol,yes,2009,A5,full,24996.0
Mercedes-Benz,other,280,2.4,Petrol,yes,2003,E-Class,rear,9200.0
Audi,sedan,225,2.4,Gas,yes,1998,A6,front,6800.0
Ford,crossover,68,2.5,Diesel,yes,2010,Kuga,front,15500.0
Mercedes-Benz,sedan,39,1.6,Petrol,yes,2015,C-Class,rear,38200.0
Hyundai,crossover,120,2.6290927510130397,Other,yes,2007,Tucson,full,10500.0
Skoda,sedan,75,1.8,Petrol,yes,2014,Octavia A7,front,19200.0
Mercedes-Benz,sedan,18,3.0,Diesel,yes,2015,S 350,full,125000.0
Porsche,crossover,1,3.0,Diesel,yes,2016,Cayenne,full,87900.0
Toyota,sedan,232,2.4,Petrol,yes,2005,Camry,front,9000.0
Infiniti,crossover,98,3.7,Gas,yes,2012,FX 37,full,35999.0
Lexus,sedan,77,3.0,Petrol,yes,2008,GS 300,rear,21900.0
Toyota,sedan,139,2.4,Other,yes,2008,Camry,front,13900.0
Lexus,crossover,100,4.7,Gas,yes,2005,GX,full,22400.0
Porsche,crossover,35,4.8,Petrol,yes,2014,Cayenne,full,81000.0
Mercedes-Benz,other,340,2.4,Gas,yes,1998,E-Class,rear,6200.0
BMW,crossover,70,3.0,Diesel,yes,2014,X5,full,66900.0
BMW,crossover,2,3.0,Diesel,yes,2016,X5,full,104999.0
Mercedes-Benz,other,12,1.8,Petrol,yes,2012,E-Class,rear,38600.0
Nissan,crossover,64,2.0,Petrol,yes,2013,X-Trail,full,21850.0
Mercedes-Benz,other,94,5.5,Petrol,yes,2009,CL 55 AMG,rear,37500.0
Nissan,hatch,20,2.6290927510130397,Other,yes,2014,Leaf,front,17000.0
Audi,sedan,18,1.8,Other,yes,2015,A5,front,39000.0
Lexus,crossover,144,5.7,Gas,yes,2009,LX 570,full,44500.0
Toyota,hatch,87,1.0,Petrol,yes,2009,IQ,front,11300.0
Nissan,crossover,0,1.6,Diesel,yes,2016,Qashqai,full,25382.955
Skoda,sedan,135,1.8,Petrol,yes,2008,Superb,front,8100.0
Mitsubishi,crossover,125,3.0,Gas,yes,2008,Pajero Wagon,full,23000.0
Nissan,sedan,28,2.6290927510130397,Other,yes,2014,Leaf,front,14200.0
Tesla,sedan,0,2.6290927510130397,Other,yes,2016,Model S,full,159600.0
Audi,vagon,210,1.8,Gas,no,1996,A4,front,1950.0
Land Rover,crossover,140,5.0,Petrol,yes,2010,Range Rover Sport,full,33000.0
Land Rover,crossover,93,3.0,Diesel,yes,2013,Range Rover Sport,full,51500.0
Skoda,hatch,24,1.4,Petrol,yes,2014,Octavia A7,front,22700.0
Nissan,hatch,62,2.6290927510130397,Other,yes,2013,Leaf,front,17500.0
Skoda,sedan,109,1.8,Petrol,yes,2012,Octavia A5,front,11900.0
BMW,sedan,170,2.0,Diesel,yes,2011,520,rear,28000.0
Subaru,vagon,116,2.0,Petrol,yes,2008,Forester,full,12900.0
Kia,hatch,54,1.6,Diesel,yes,2013,Ceed,front,16400.0
Toyota,sedan,1,2.5,Petrol,yes,2016,Camry,front,24171.42
Mercedes-Benz,sedan,198,1.8,Gas,yes,2011,E-Class,rear,20300.0
Subaru,crossover,171,99.99,Petrol,yes,2010,Forester,full,14000.0
Volkswagen,sedan,80,1.6,Petrol,yes,2011,Polo,front,9900.0
Mercedes-Benz,crossover,0,3.0,Diesel,yes,2016,GLS 350,full,110000.0
Nissan,hatch,32,2.6290927510130397,Other,yes,2013,Leaf,front,16500.0
Audi,sedan,140,2.8,Petrol,yes,2012,A6,front,25500.0
Volkswagen,van,345,1.9,Diesel,yes,2006,T5 (Transporter) ãðóç,front,7000.0
VAZ,other,80,2.0,Gas,yes,2002,2121,full,3600.0
Honda,sedan,111,1.8,Petrol,yes,2011,Civic,front,12990.0
Land Rover,crossover,15,5.0,Petrol,yes,2015,Range Rover Sport,full,147000.0
Honda,sedan,109,2.4,Petrol,yes,2009,Accord,front,11900.0
Volkswagen,vagon,149,2.0,Diesel,yes,2008,Passat B6,front,12199.0
Chevrolet,sedan,179,1.5,Gas,yes,2008,Aveo,front,5200.0
Renault,vagon,185,1.5,Diesel,yes,2011,Megane,front,10500.0
Toyota,sedan,43,2.5,Gas,yes,2015,Camry,front,24800.0
Kia,hatch,35,1.6,Petrol,yes,2012,Ceed,front,13300.0
Audi,sedan,250,2.6290927510130397,Diesel,no,2001,A6,front,2200.0
Audi,vagon,250,2.5,Diesel,no,2001,A6,full,2300.0
Audi,vagon,250,2.6290927510130397,Diesel,no,2001,A6,front,2350.0
Audi,sedan,180,2.6290927510130397,Petrol,no,2000,A4,front,2500.0
Mitsubishi,sedan,152,1.6,Petrol,yes,2006,Lancer,front,6200.0
Nissan,crossover,65,3.5,Gas,yes,2009,Murano,full,18200.0
Ford,sedan,63,1.6,Petrol,yes,2013,Focus,front,12500.0
Porsche,hatch,9,4.8,Petrol,yes,2014,Panamera,full,117777.0
Kia,other,135,2.4,Gas,yes,2006,Sorento,full,8800.0
Porsche,sedan,40,3.0,Diesel,yes,2013,Panamera,rear,69900.0
Opel,sedan,180,1.4,Petrol,yes,2007,Astra G,front,5350.0
Kia,crossover,0,2.2,Diesel,yes,2016,Sorento,full,42741.621
Volkswagen,sedan,123,1.8,Petrol,yes,2010,Passat B6,front,16500.0
Chevrolet,sedan,80,1.5,Petrol,yes,2011,Aveo,front,6700.0
Mercedes-Benz,crossover,0,3.0,Diesel,yes,2016,GLS 350,full,111999.0
Audi,vagon,273,2.5,Diesel,no,2003,A6,front,3700.0
Alfa Romeo,hatch,199,1.6,Petrol,yes,2002,147,front,5900.0
Toyota,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,full,75500.0
Mercedes-Benz,crossover,40,4.6,Petrol,yes,2013,ML 500,full,55000.0
Mitsubishi,sedan,148,2.0,Gas,yes,2008,Lancer X,front,9800.0
Subaru,vagon,350,2.0,Petrol,yes,2005,Forester,full,6100.0
Chevrolet,sedan,121,1.5,Petrol,yes,2006,Aveo,front,5500.0
Chevrolet,sedan,199,1.6,Gas,yes,2012,Aveo,front,7799.0
Honda,hatch,63,1.8,Petrol,yes,2013,Civic,front,13900.0
Kia,crossover,106,2.5,Diesel,yes,2008,Sorento,full,14500.0
Smart,other,62,1.0,Petrol,yes,2011,Fortwo,rear,8000.0
Renault,crossover,61,1.5,Diesel,yes,2013,Duster,front,14700.0
Lexus,crossover,0,4.5,Diesel,yes,2016,LX 450,full,135555.0
Hyundai,crossover,102,2.2,Diesel,yes,2008,Santa FE,full,14500.0
VAZ,hatch,60,1.6,Petrol,yes,2013,2114,front,4100.0
Porsche,sedan,64,4.8,Petrol,yes,2011,Panamera,full,54900.0
BMW,sedan,73,2.0,Petrol,yes,2013,520,rear,30500.0
Volkswagen,sedan,195,3.2,Petrol,yes,2007,Passat B6,full,10700.0
Nissan,hatch,21,0.11,Other,yes,2014,Leaf,front,17700.0
Renault,vagon,123,1.5,Diesel,yes,2009,Megane,front,8700.0
Mitsubishi,sedan,170,2.6290927510130397,Other,yes,2005,Lancer,front,6200.0
Honda,sedan,145,2.0,Gas,yes,2008,Accord,front,13200.0
Toyota,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,full,59900.0
Ford,sedan,109,1.6,Gas,yes,2011,Focus,front,12099.0
Volkswagen,van,240,1.9,Diesel,yes,2005,Caddy ïàññ.,front,7300.0
Mercedes-Benz,other,160,3.0,Diesel,yes,2007,S 320,rear,24800.0
Tesla,sedan,27,2.6290927510130397,Other,yes,2013,Model S,front,80000.0
Ford,hatch,71,1.6,Gas,yes,2013,Fiesta,front,12300.0
Subaru,crossover,134,2.0,Petrol,yes,2011,Forester,full,17000.0
Tesla,hatch,52,2.6290927510130397,Other,yes,2013,Model S,front,58000.0
Land Rover,crossover,39,5.0,Petrol,yes,2014,Range Rover,full,102999.0
Peugeot,van,135,1.6,Diesel,yes,2009,Partner ïàññ.,front,8500.0
Hyundai,crossover,52,2.2,Diesel,yes,2014,Santa FE,full,29999.0
Suzuki,crossover,101,2.0,Petrol,yes,2008,Grand Vitara,full,11500.0
Kia,crossover,98,2.0,Petrol,yes,2011,Sportage,full,20500.0
BMW,crossover,17,4.4,Petrol,yes,2015,X6 M,full,89999.0
Renault,vagon,120,1.5,Diesel,yes,2008,Megane,front,7800.0
Lexus,sedan,115,3.0,Petrol,yes,2007,GS 300,rear,16500.0
Renault,vagon,220,2.5,Other,yes,2006,Trafic ïàññ.,front,10600.0
Audi,other,126,3.0,Diesel,yes,2010,Q7,full,37800.0
Volkswagen,van,93,1.6,Diesel,yes,2012,Caddy ãðóç.,front,8800.0
BMW,sedan,284,1.9,Gas,yes,2000,316,rear,8500.0
Toyota,crossover,97,4.0,Petrol,yes,2009,Land Cruiser Prado,full,25900.0
Land Rover,crossover,60,5.0,Petrol,yes,2014,Range Rover,full,95000.0
Subaru,crossover,210,2.0,Petrol,yes,2005,Forester,full,8000.0
BMW,sedan,280,1.6,Petrol,no,2000,316,rear,2550.0
Nissan,hatch,9,2.6290927510130397,Other,yes,2015,Leaf,front,18500.0
Nissan,hatch,12,2.6290927510130397,Other,yes,2015,Leaf,front,20999.0
Nissan,hatch,31,1.0,Other,yes,2013,Leaf,front,14999.0
Mercedes-Benz,sedan,123,3.2,Petrol,yes,2000,S 320,rear,12600.0
Tesla,sedan,1,2.6290927510130397,Other,yes,2016,Model S,full,85500.0
Renault,crossover,1,1.5,Diesel,yes,2016,Duster,full,18456.1611
Mercedes-Benz,sedan,280,2.4,Gas,yes,1997,E-Class,rear,8200.0
Mazda,sedan,89,2.0,Petrol,yes,2009,6,front,12500.0
Peugeot,vagon,135,2.0,Petrol,yes,2008,307,front,8300.0
Audi,sedan,220,2.5,Diesel,no,1999,A8,front,4150.0
Audi,sedan,170,4.2,Diesel,yes,2011,A8,full,46000.0
Toyota,crossover,100,3.5,Petrol,yes,2012,Highlander,full,28700.0
Daewoo,hatch,104,0.8,Petrol,yes,2008,Matiz,front,3499.0
Skoda,sedan,119,1.8,Gas,yes,2006,Octavia Tour,front,7650.0
Audi,sedan,240,1.6,Other,yes,1987,80,front,2411.0
Volkswagen,van,272,1.9,Diesel,yes,2005,Caddy ïàññ.,front,8900.0
Renault,vagon,230,1.5,Diesel,yes,2012,Megane,front,11500.0
Volkswagen,van,380,2.0,Diesel,yes,2004,Caddy ãðóç.,front,4500.0
Hyundai,sedan,98,1.4,Petrol,yes,2011,Accent,front,9600.0
Ford,hatch,138,1.4,Petrol,yes,2008,Fiesta,front,5900.0
Mercedes-Benz,sedan,275,2.2,Other,yes,2005,E-Class,rear,9900.0
Toyota,crossover,130,2.0,Petrol,yes,2008,Rav 4,full,15300.0
Nissan,hatch,97,1.2,Petrol,yes,2010,Micra,front,9300.0
Renault,van,78,2.0,Diesel,yes,2012,Trafic ïàññ.,front,12499.0
Nissan,crossover,46,1.6,Petrol,yes,2013,Juke,front,15000.0
Toyota,crossover,47,5.7,Gas,yes,2009,Sequoia,full,37700.0
BMW,sedan,330,2.6290927510130397,Diesel,yes,1997,525,rear,8000.0
Smart,other,110,1.0,Petrol,yes,2007,Fortwo,rear,6500.0
Suzuki,crossover,81,2.0,Petrol,yes,2006,Grand Vitara,full,9650.0
Volkswagen,sedan,185,2.8,Gas,yes,2004,Passat B5,full,7000.0
Honda,sedan,100,1.8,Petrol,yes,2012,Civic,front,13200.0
Honda,sedan,38,1.8,Petrol,yes,2012,Civic,front,13400.0
Suzuki,crossover,203,2.0,Petrol,yes,2002,Grand Vitara,full,6999.0
BMW,crossover,163,5.0,Petrol,yes,2011,X5 M,full,34600.0
Audi,sedan,250,2.6290927510130397,Gas,no,1994,80,front,1300.0
Kia,crossover,14,2.2,Diesel,yes,2012,Sorento,full,23999.0
Opel,sedan,280,2.3,Diesel,yes,1987,Omega,rear,1600.0
Mercedes-Benz,crossover,254,5.0,Gas,yes,2004,G 500,full,35900.0
Ford,crossover,87,2.5,Petrol,yes,2010,Kuga,full,16400.0
Hyundai,sedan,138,1.4,Petrol,yes,2011,Accent,front,8900.0
Subaru,crossover,0,2.0,Diesel,yes,2016,Forester,full,38900.0
Renault,van,230,2.0,Diesel,yes,2009,Trafic ïàññ.,front,13200.0
Toyota,crossover,21,2.0,Petrol,yes,2013,Rav 4,full,26500.0
Volkswagen,van,282,2.5,Diesel,yes,2000,T4 (Transporter) ïàññ.,front,7800.0
Mercedes-Benz,crossover,1,3.0,Diesel,yes,2016,GLS 350,full,109999.0
Audi,sedan,163,4.2,Diesel,yes,2008,A8,full,24900.0
Lexus,crossover,150,4.7,Gas,yes,2005,LX 470,full,27500.0
Daewoo,hatch,36,0.8,Petrol,yes,2011,Matiz,front,3950.0
Tesla,sedan,8,2.6290927510130397,Other,yes,2013,Model S,front,58000.0
BMW,crossover,33,3.0,Petrol,yes,2015,X5,full,63500.0
Lexus,crossover,60,5.7,Petrol,yes,2011,LX 570,full,57800.0
Renault,van,131,1.5,Diesel,yes,2013,Kangoo ãðóç.,front,6800.0
Tesla,sedan,30,2.6290927510130397,Other,yes,2013,Model S,rear,59000.0
Nissan,crossover,70,1.6,Petrol,yes,2012,Qashqai,front,19000.0
Toyota,sedan,131,3.5,Gas,yes,2007,Camry,front,14700.0
Lexus,sedan,350,3.0,Petrol,yes,1996,GS 300,rear,6000.0
Toyota,other,211,4.0,Gas,yes,2007,Land Cruiser Prado,full,23000.0
Mazda,other,450,2.0,Gas,yes,1989,626,front,2700.0
