фотки,площадь_квартиры,дата_публикаци,комнаты,потолки,этажность,жил_площадь,этаж,апартаменты,студия,свободная_планировка,площадь_кухни,балконы,населенный_пункт,до_аэропорта,до_центра_города,парки,до_парка,водоемы,до_водоема,количество_дней_публикации,стоимость
16,121.0,2019-01-09,3,2.75,16,76.0,8,1,0,0,12.0,0,Санкт-Петербург,38900.0,12843.0,0,490.8307291666667,0,518.0439233817701,97,14200000.0
12,80.0,2017-09-28,3,2.7,27,48.0,11,1,0,0,12.0,2,посёлок Парголово,53134.0,19311.0,0,490.8307291666667,0,518.0439233817701,74,6120000.0
13,31.6,2018-03-14,1,2.65,5,16.9,2,1,0,0,5.7,1,Санкт-Петербург,36064.0,9722.0,1,248.0,0,518.0439233817701,310,3200000.0
20,58.0,2017-04-24,2,2.75,25,30.0,15,1,0,0,11.0,2,деревня Кудрово,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,60,5000000.0
11,32.0,2016-10-29,1,2.6,9,17.7,9,1,0,0,6.1,0,Санкт-Петербург,15414.0,14211.0,2,517.0,1,190.0,615,2950000.0
8,97.2,2015-10-31,2,2.65,3,46.5,1,1,0,0,19.6,0,Санкт-Петербург,20052.0,2336.0,3,411.0,3,124.0,265,6500000.0
3,76.0,2015-10-01,2,2.75,23,39.0,18,0,0,0,15.0,2,Санкт-Петербург,34967.0,14640.0,0,490.8307291666667,1,564.0,300,6800000.0
6,60.0,2017-04-28,4,2.65,5,43.0,4,1,0,0,7.0,0,Санкт-Петербург,11580.0,10510.0,0,490.8307291666667,1,95.0,265,4050000.0
20,70.0,2017-05-12,3,2.6,17,49.0,11,1,0,0,9.2,0,Санкт-Петербург,29197.0,11456.0,2,452.0,1,779.0,151,7100000.0
8,44.0,2017-12-13,1,2.9,6,20.8,1,1,0,0,11.7,1,Пушкин,18557.0,30710.0,0,490.8307291666667,1,118.0,74,4170000.0
9,100.0,2016-04-09,3,2.65,19,52.0,15,0,0,0,11.0,0,Санкт-Петербург,30394.0,11526.0,1,532.0,1,896.0,125,8600000.0
12,32.8,2018-02-19,1,2.65,9,20.848226333587657,2,1,0,0,9.1,0,Коммунар,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,63,2200000.0
8,67.9,2017-10-26,2,2.8,16,38.1,4,1,0,0,13.4,2,Санкт-Петербург,32888.0,12944.0,0,490.8307291666667,0,518.0439233817701,112,7200000.0
7,60.0,2016-05-22,3,2.65,5,39.0,4,1,0,0,6.0,0,Санкт-Петербург,11349.0,12889.0,0,490.8307291666667,1,426.0,224,4990000.0
8,73.0,2018-10-15,4,2.65,9,51.6,5,1,0,0,6.5,0,Колпино,26535.0,32321.0,0,490.8307291666667,0,518.0439233817701,92,4800000.0
3,33.0,2018-02-04,1,2.55,16,14.0,3,1,0,0,8.0,0,Санкт-Петербург,13943.0,12739.0,0,490.8307291666667,0,518.0439233817701,15,3290000.0
6,149.0,2017-06-26,5,2.65,5,104.0,4,1,0,0,17.0,0,Санкт-Петербург,23670.0,3502.0,0,490.8307291666667,1,779.0,644,15500000.0
13,45.0,2017-01-25,2,2.65,9,27.0,9,0,0,0,6.3,2,Санкт-Петербург,49574.0,16461.0,1,459.0,0,518.0439233817701,139,3790000.0
10,45.8,2017-10-28,2,2.5,5,36.96119713692863,1,1,0,0,9.1,0,поселок городского типа Красный Бор,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,196,1990000.0
10,40.0,2018-03-29,1,2.75,18,16.3,9,1,0,0,11.6,0,посёлок Мурино,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,103,3150000.0
15,54.4,2018-11-29,2,2.75,9,29.7,2,1,0,0,8.8,2,Санкт-Петербург,13413.0,12209.0,0,490.8307291666667,1,1175.0,29,5200000.0
9,36.0,2017-03-15,1,2.6,26,15.0,22,1,0,0,10.0,2,посёлок Парголово,52996.0,19143.0,0,490.8307291666667,0,518.0439233817701,430,3590000.0
16,74.0,2016-05-04,3,2.65,14,59.0,8,0,0,0,12.0,5,Санкт-Петербург,37715.0,12612.0,1,725.0,1,759.0,179,7900000.0
13,161.8,2015-07-08,4,2.8,4,80.9,2,0,0,0,17.6,5,Петергоф,35416.0,30605.0,2,47.0,1,907.0,987,22000000.0
13,48.0,2017-01-10,2,3.0,4,28.0,4,1,0,0,7.5,0,Санкт-Петербург,15016.0,10822.0,0,490.8307291666667,1,492.0,763,9330000.0
13,40.0,2018-11-18,1,2.65,22,24.87833849190976,3,1,0,0,9.1,1,Санкт-Петербург,30471.0,11603.0,1,620.0,1,1152.0,95,5350000.0
17,50.6,2018-12-02,2,2.65,9,30.3,7,1,0,0,7.0,0,Санкт-Петербург,30011.0,12872.0,0,490.8307291666667,0,518.0439233817701,95,5200000.0
17,52.1,2019-01-31,2,2.6,24,29.7,9,1,0,0,8.3,2,Санкт-Петербург,15114.0,12702.0,0,490.8307291666667,0,518.0439233817701,95,6600000.0
17,56.1,2018-10-18,3,2.65,4,42.5,3,1,0,0,5.7,1,Гатчина,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,179,3600000.0
10,33.83,2017-10-03,1,2.65,24,15.35,6,1,0,0,9.5,0,Санкт-Петербург,21460.0,16788.0,0,490.8307291666667,1,170.0,322,3600000.0
1,30.8,2018-11-22,1,2.5,9,18.0,7,1,0,0,6.0,0,Санкт-Петербург,45341.0,16603.0,1,675.0,0,518.0439233817701,95,3050000.0
1,48.2,2017-11-13,1,2.7,5,25.4,4,0,0,0,9.0,1,Пушкин,19841.0,30183.0,1,531.0,3,330.0,152,4500000.0
7,161.0,2017-10-17,3,3.2,8,38.0,4,1,0,0,50.0,0,Санкт-Петербург,32537.0,6589.0,0,490.8307291666667,3,99.0,541,45000000.0
20,136.0,2017-09-22,6,3.0,2,94.0,2,1,0,0,11.0,1,Санкт-Петербург,16510.0,6582.0,1,526.0,0,518.0439233817701,95,11795000.0
7,39.1,2017-11-10,1,2.65,25,15.4,13,1,0,0,15.5,2,посёлок Парголово,52611.0,18783.0,0,490.8307291666667,0,518.0439233817701,6,4300000.0
6,36.5,2017-04-14,1,2.65,24,14.0,6,1,0,0,12.0,0,Санкт-Петербург,33331.0,14495.0,0,490.8307291666667,0,518.0439233817701,44,3320000.0
20,58.8,2018-03-24,2,2.6,10,33.7,9,1,0,0,10.7,0,Санкт-Петербург,10643.0,12260.0,0,490.8307291666667,1,998.0,69,7400000.0
14,41.0,2016-03-28,1,2.8,7,18.1,4,0,0,0,11.1,2,Санкт-Петербург,13772.0,9626.0,1,271.0,1,439.0,152,4350000.0
7,45.0,2017-10-25,1,2.65,25,17.0,10,1,0,0,12.0,0,посёлок Шушары,13097.0,18883.0,0,490.8307291666667,1,649.0,173,3200000.0
11,33.0,2017-07-05,1,2.6,9,19.0,5,1,0,0,7.0,0,Санкт-Петербург,12988.0,15579.0,0,490.8307291666667,2,898.0,298,3900000.0
15,46.5,2017-03-06,1,2.65,13,29.29598738299654,13,1,0,0,9.1,0,Санкт-Петербург,11125.0,14501.0,0,490.8307291666667,0,518.0439233817701,336,6300000.0
3,35.0,2018-01-01,1,2.65,12,15.446223583566374,8,1,0,0,9.1,0,посёлок Мурино,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,11,2740000.0
18,74.0,2017-08-24,2,2.65,4,43.0,4,1,0,0,20.0,0,Санкт-Петербург,22568.0,4288.0,1,363.0,0,518.0439233817701,609,7990000.0
0,78.6,2017-09-17,3,2.8,9,48.8,5,1,0,0,11.9,2,Сертолово,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,5,4800000.0
2,118.0,2018-09-11,3,3.0,9,68.0,7,1,0,0,16.0,0,Санкт-Петербург,26055.0,4800.0,1,648.0,1,779.0,37,20000000.0
13,44.3,2017-11-07,2,2.5,5,29.0,5,1,0,0,5.3,0,Гатчина,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,143,3100000.0
7,57.0,2018-03-03,3,2.5,5,39.0,2,1,0,0,7.0,0,Санкт-Петербург,35361.0,10484.0,0,490.8307291666667,0,518.0439233817701,216,4400000.0
6,34.0,2015-12-16,1,2.6,17,17.4,8,0,0,0,11.5,2,поселок Мурино,51553.0,21888.0,0,490.8307291666667,0,518.0439233817701,186,3450000.0
6,31.0,2018-08-28,1,2.5,5,15.4,4,1,0,0,7.2,0,Ломоносов,47675.0,51100.0,0,490.8307291666667,2,490.0,39,2550000.0
11,74.0,2017-08-04,3,2.8,5,44.0,1,1,0,0,8.0,2,деревня Фёдоровское,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,234,4150000.0
6,50.7,2018-09-16,2,2.6,5,28.9,5,0,0,0,9.0,2,Выборг,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,194,4010000.0
9,30.0,2018-09-05,1,2.65,5,16.0,1,1,0,0,7.0,0,Санкт-Петербург,39053.0,8313.0,1,382.0,0,518.0439233817701,14,3400000.0
20,57.5,2019-03-27,3,2.5,9,39.0,8,1,0,0,6.2,0,Санкт-Петербург,33623.0,12267.0,1,334.0,1,333.0,95,4850000.0
10,55.0,2018-12-09,2,2.7,3,35.5,2,1,0,0,7.5,1,Кронштадт,68258.0,49984.0,3,167.0,3,118.0,141,4500000.0
10,73.8,2016-03-14,3,2.65,10,44.8,1,0,0,0,10.4,0,посёлок Парголово,53817.0,23742.0,0,490.8307291666667,3,631.0,166,4750000.0
3,34.0,2018-06-14,1,2.5,9,19.0,8,1,0,0,7.1,0,Колпино,26765.0,32551.0,1,445.0,1,996.0,121,2350000.0
19,44.0,2018-02-27,2,2.7,23,21.0,19,1,0,0,15.0,2,Санкт-Петербург,15749.0,14545.0,0,490.8307291666667,0,518.0439233817701,36,4950000.0
12,55.1,2016-05-14,3,2.6,5,38.4,1,1,0,0,4.9,0,Кировск,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,606,2800000.0
7,62.1,2016-03-13,3,2.55,5,43.5,1,0,0,0,7.3,0,Санкт-Петербург,19646.0,15572.0,1,231.0,2,854.0,186,4300000.0
9,37.0,2018-02-22,1,2.65,19,18.0,6,1,0,0,10.7,0,Санкт-Петербург,34324.0,14192.0,0,490.8307291666667,0,518.0439233817701,45,4350000.0
12,55.7,2017-12-18,3,2.5,4,42.6,4,1,0,0,7.0,0,Кировск,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,463,2590000.0
8,79.1,2018-02-23,3,3.0,15,45.23,1,1,0,0,11.95,1,деревня Новое Девяткино,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,235,4050000.0
9,68.0,2018-12-27,1,2.65,10,50.914566008957,6,1,0,0,9.1,0,Санкт-Петербург,28046.18623688923,11601.291570881223,0,490.8307291666667,0,518.0439233817701,95,10949000.0
3,80.5,2018-01-15,3,2.65,25,28.78390721961308,16,1,0,0,9.1,0,посёлок Шушары,12430.0,18217.0,0,490.8307291666667,0,518.0439233817701,60,4500000.0
10,41.4,2018-09-24,1,2.7,25,16.5,20,1,0,0,10.2,0,посёлок Парголово,53554.0,19107.0,0,490.8307291666667,0,518.0439233817701,81,4200000.0
11,43.9,2019-03-13,2,2.65,2,27.46,1,1,0,0,5.2,0,Кировск,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,95,2400000.0
13,46.3,2018-11-26,2,3.0,5,27.8,5,1,0,0,8.0,0,Санкт-Петербург,13334.0,9319.0,0,490.8307291666667,1,682.0,65,5200000.0
15,63.0,2018-07-17,2,2.65,11,36.0,3,1,0,0,9.0,2,посёлок Металлострой,26128.0,27825.0,0,490.8307291666667,0,518.0439233817701,100,4500000.0
19,52.0,2019-04-23,2,2.61,9,30.0,6,1,0,0,9.0,2,Санкт-Петербург,12444.0,15035.0,0,490.8307291666667,1,881.0,95,4999000.0
0,33.1,2019-04-09,1,2.65,5,18.4,1,1,0,0,6.4,0,посёлок городского типа Лебяжье,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,95,1700000.0
9,63.0,2018-10-25,3,2.5,5,43.0,4,1,0,0,9.0,0,посёлок городского типа Сиверский,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,45,2500000.0
9,67.7,2017-09-16,3,2.65,9,40.0,4,1,0,0,8.0,1,Санкт-Петербург,32668.0,13832.0,0,490.8307291666667,0,518.0439233817701,534,6450000.0
20,54.0,2015-10-28,2,2.65,3,28.0,1,1,0,0,8.5,0,поселок Молодцово,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,439,2130000.0
10,72.0,2017-11-17,2,2.65,12,45.0,4,1,0,0,10.0,0,поселок городского типа Кузьмоловский,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,54,4200000.0
10,40.4,2016-06-15,1,2.75,9,20.0,7,0,0,0,10.0,1,Санкт-Петербург,32574.0,11648.0,1,511.0,0,518.0439233817701,239,3500000.0
3,29.5,2019-04-26,1,2.5,5,15.6,2,1,0,0,5.5,1,Санкт-Петербург,12921.0,7303.0,0,490.8307291666667,0,518.0439233817701,4,3500000.0
14,47.0,2018-08-06,2,2.75,9,28.1,9,0,0,0,7.0,2,Санкт-Петербург,10142.0,13743.0,2,751.0,1,881.0,34,5150000.0
20,78.3,2018-08-24,3,2.5,15,51.0,9,1,0,0,11.0,0,Санкт-Петербург,52108.0,16333.0,0,490.8307291666667,1,746.0,31,8780000.0
15,146.0,2019-02-12,4,2.65,2,77.0,2,1,0,0,13.0,0,Выборг,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,34,4898000.0
11,80.0,2014-12-10,3,2.65,5,55.1,3,1,0,0,11.0,0,Санкт-Петербург,11248.0,8767.0,1,666.0,0,518.0439233817701,831,11700000.0
32,90.0,2017-09-26,4,2.65,5,67.0,2,1,0,0,8.0,0,Санкт-Петербург,23277.0,2818.0,0,490.8307291666667,0,518.0439233817701,104,9600000.0
16,38.6,2018-02-22,1,2.65,9,18.0,6,1,0,0,8.4,2,Санкт-Петербург,36450.0,13364.0,0,490.8307291666667,0,518.0439233817701,8,3800000.0
4,37.0,2019-03-23,1,2.75,10,12.0,3,1,0,0,13.0,0,садовое товарищество Новая Ропша,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,95,3000000.0
7,33.0,2016-04-15,1,2.65,14,18.0,2,1,0,0,6.2,1,Санкт-Петербург,49214.0,16140.0,0,490.8307291666667,0,518.0439233817701,88,3700000.0
14,35.0,2018-10-04,1,2.7,25,17.0,9,1,0,0,9.0,0,Санкт-Петербург,42499.0,9719.0,0,490.8307291666667,0,518.0439233817701,19,4800000.0
15,77.2,2018-04-18,4,2.6,9,61.0,1,1,0,0,6.0,0,Санкт-Петербург,12403.0,10787.0,0,490.8307291666667,1,713.0,300,6900000.0
12,32.0,2018-01-07,1,2.65,25,15.0,5,1,0,0,9.0,0,Санкт-Петербург,52480.0,15598.0,0,490.8307291666667,1,464.0,60,4900000.0
9,124.1,2017-05-25,5,3.2,4,79.4,3,1,0,0,20.0,0,Санкт-Петербург,26825.0,5527.0,1,384.0,0,518.0439233817701,6,10500000.0
1,101.0,2016-04-13,4,3.0,3,73.0,3,0,0,0,9.0,1,Павловск,20746.0,32900.0,3,127.0,3,405.0,122,11000000.0
9,80.0,2017-10-30,3,2.55,10,46.0,7,1,0,0,11.0,1,Санкт-Петербург,35958.0,9860.0,0,490.8307291666667,0,518.0439233817701,95,9490000.0
2,62.5,2015-12-08,2,2.65,5,35.5,5,1,0,0,9.5,0,Пушкин,14517.0,26670.0,1,517.0,0,518.0439233817701,1048,7497600.0
6,72.3,2017-09-29,2,2.65,3,27.4,2,1,0,0,23.6,0,деревня Пикколово,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,45,3850000.0
4,40.0,2017-05-29,1,2.65,6,18.0,1,1,0,0,10.0,0,Санкт-Петербург,20062.0,6175.0,1,241.0,0,518.0439233817701,31,4590000.0
14,33.3,2018-03-27,1,2.55,9,19.0,3,1,0,0,7.0,2,Всеволожск,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,226,2500000.0
8,78.0,2016-05-19,3,2.65,27,45.4,27,1,0,0,10.8,2,посёлок Парголово,53134.0,19311.0,0,490.8307291666667,0,518.0439233817701,426,5750000.0
5,21.4,2019-02-07,1,2.9,8,8.3,7,1,0,0,6.3,0,Санкт-Петербург,27089.0,5791.0,2,488.0,1,286.0,95,4000000.0
8,42.0,2018-11-05,2,2.65,5,27.0,4,1,0,0,6.5,0,Санкт-Петербург,43019.0,8535.0,0,490.8307291666667,0,518.0439233817701,73,3850000.0
18,97.2,2017-11-13,3,2.5,16,51.14707384532999,16,1,0,0,18.3,5,Санкт-Петербург,19426.0,21138.0,0,490.8307291666667,2,390.0,394,10999000.0
10,84.7,2018-03-04,3,3.2,5,55.9,4,1,0,0,8.4,1,Санкт-Петербург,37889.0,9816.0,1,156.0,0,518.0439233817701,390,8520000.0
8,31.0,2019-02-24,1,2.5,9,17.0,4,1,0,0,5.0,0,Санкт-Петербург,35445.0,9089.0,0,490.8307291666667,2,439.0,60,4500000.0
10,67.0,2015-10-21,3,2.65,6,42.5,2,0,0,0,8.2,2,Санкт-Петербург,37836.0,12250.0,1,576.0,1,556.0,330,6200000.0
11,30.9,2017-10-20,1,2.75,5,16.7,1,1,0,0,6.0,0,Кронштадт,68997.0,50722.0,1,285.0,2,221.0,360,2500000.0
20,180.0,2017-02-17,3,2.9,9,86.0,8,0,0,0,24.0,4,Санкт-Петербург,25689.0,4264.0,1,633.0,0,518.0439233817701,144,33000000.0
20,60.0,2019-04-06,2,2.5,5,31.5,2,1,0,0,9.0,2,Волхов,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,95,2100000.0
2,48.0,2019-04-04,1,2.65,22,14.0,5,1,0,0,23.8,0,Санкт-Петербург,16951.0,15747.0,0,490.8307291666667,1,1097.0,9,4300000.0
20,87.8,2019-03-10,3,2.65,12,45.1,3,1,0,0,24.0,1,Санкт-Петербург,32746.0,13845.0,0,490.8307291666667,1,516.0,95,12490000.0
20,65.9,2018-02-25,3,2.55,9,48.5,8,1,0,0,6.3,0,Санкт-Петербург,44855.0,17093.0,0,490.8307291666667,0,518.0439233817701,239,4800000.0
10,51.0,2019-04-23,2,2.65,5,30.5,1,1,0,0,6.6,0,Пушкин,17974.0,32546.0,1,15.0,1,659.0,95,4050000.0
6,55.0,2019-04-29,2,2.5,11,31.9,3,1,0,0,8.3,0,Санкт-Петербург,31398.0,11990.0,0,490.8307291666667,0,518.0439233817701,95,6210000.0
6,31.0,2019-02-13,1,2.75,3,19.5,1,1,0,0,5.0,0,Ломоносов,48649.0,52073.0,0,490.8307291666667,2,896.0,35,2500000.0
0,32.0,2018-02-01,1,2.5,9,18.0,3,1,0,0,8.0,0,Санкт-Петербург,49587.0,16425.0,1,215.0,0,518.0439233817701,40,3200000.0
11,49.0,2018-06-23,2,2.8,8,31.0,8,1,0,0,6.0,2,Кингисепп,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,163,2650000.0
8,71.1,2018-08-20,3,2.5,5,41.9,4,1,0,0,9.0,2,Приозерск,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,95,3400000.0
13,33.0,2017-10-13,1,2.5,9,19.0,7,1,0,0,6.0,0,Петергоф,45332.0,48757.0,0,490.8307291666667,0,518.0439233817701,49,2699000.0
12,31.0,2018-03-23,1,2.65,25,17.757519813224118,6,1,0,0,9.1,0,посёлок Мурино,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,78,3150000.0
10,33.7,2017-07-10,1,2.65,17,15.1,3,1,0,0,7.3,0,Санкт-Петербург,35452.0,15458.0,0,490.8307291666667,1,998.0,353,3800000.0
7,48.0,2018-09-28,1,3.25,5,20.5,1,0,0,0,17.0,0,Сестрорецк,57998.0,34928.0,0,490.8307291666667,2,443.0,216,3990000.0
16,51.8,2018-08-01,2,3.45,6,25.6,2,1,0,0,7.3,1,Санкт-Петербург,20502.0,3618.0,2,533.0,1,812.0,163,6500000.0
11,85.1,2018-01-01,2,2.7,10,31.52,5,1,0,0,26.85,1,Санкт-Петербург,31460.0,4263.0,1,141.0,3,133.0,340,13310800.0
8,40.0,2017-11-18,2,2.65,3,29.0,2,1,0,0,6.0,0,Санкт-Петербург,23371.0,2913.0,0,490.8307291666667,2,729.0,80,4800000.0
9,31.0,2016-04-13,1,2.5,5,17.0,3,0,0,0,5.5,1,поселок городского типа Кузьмоловский,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,172,2200000.0
8,105.7,2016-12-09,2,2.7,3,48.4,1,1,0,0,15.4,0,Пушкин,14352.0,26506.0,3,366.0,3,179.0,390,16912000.0
8,32.6,2019-02-27,1,2.65,5,18.5,5,1,0,0,5.5,0,Санкт-Петербург,24764.0,5448.0,0,490.8307291666667,0,518.0439233817701,95,6500000.0
1,86.2,2017-09-27,3,2.75,12,49.6,9,1,0,0,17.0,1,деревня Куттузи,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,42,4620000.0
9,30.0,2016-06-08,1,2.5,9,20.0,9,1,0,0,5.6,0,Санкт-Петербург,30067.0,6262.0,0,490.8307291666667,1,332.0,60,2990000.0
1,27.0,2017-03-30,0,2.65,24,15.5,2,1,1,0,9.1,2,посёлок Мурино,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,181,2450000.0
6,77.0,2015-09-21,2,2.77,16,40.0,5,1,0,0,10.0,1,Санкт-Петербург,30012.0,7384.0,0,490.8307291666667,1,260.0,807,8290000.0
11,53.6,2018-03-31,2,2.55,10,29.2,10,1,0,0,7.8,1,Сестрорецк,60883.0,36102.0,1,341.0,2,256.0,55,4400000.0
10,179.6,2017-07-06,5,2.85,25,97.2,25,1,0,0,33.8,2,Санкт-Петербург,19424.0,4489.0,0,490.8307291666667,1,806.0,75,27700000.0
20,35.5,2018-11-04,1,2.65,25,17.0,20,1,0,0,9.0,0,Санкт-Петербург,36688.0,11841.0,0,490.8307291666667,2,981.0,71,4790000.0
9,53.0,2018-06-28,2,2.65,12,31.5,6,1,0,0,7.6,0,Санкт-Петербург,10128.0,12247.0,2,633.0,1,878.0,55,5300000.0
9,45.0,2017-07-01,2,2.65,5,29.0,3,1,0,0,6.0,0,Санкт-Петербург,39793.0,9052.0,0,490.8307291666667,0,518.0439233817701,222,3900000.0
15,44.9,2019-03-20,2,2.65,5,28.0,3,1,0,0,5.4,1,посёлок Аннино,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,95,2950000.0
6,81.22,2018-08-08,3,2.64,24,42.9,10,1,0,0,12.72,1,Санкт-Петербург,17755.0,16576.0,0,490.8307291666667,1,594.0,104,8090000.0
12,55.0,2017-05-21,2,2.57,9,31.2,2,1,0,0,8.3,0,Петергоф,45958.0,34425.0,1,589.0,0,518.0439233817701,45,4350000.0
1,80.0,2018-11-06,3,4.15,3,44.2,2,1,0,0,12.2,0,Санкт-Петербург,20562.0,3167.0,2,344.0,1,838.0,38,8200000.0
8,317.0,2017-07-07,4,3.5,3,183.0,3,1,0,0,9.1,1,Санкт-Петербург,22673.0,1771.0,2,508.0,3,366.0,62,96000000.0
11,80.0,2018-06-25,2,2.75,22,34.0,19,1,0,0,19.0,2,Санкт-Петербург,34967.0,14640.0,0,490.8307291666667,1,564.0,7,10990000.0
15,75.75,2017-02-15,2,2.7,22,40.61,3,1,0,0,15.0,2,Санкт-Петербург,51531.0,14184.0,0,490.8307291666667,0,518.0439233817701,30,7250000.0
15,47.3,2017-11-07,2,2.65,5,27.5,2,1,0,0,8.5,0,городской посёлок Янино-1,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,45,3100000.0
14,66.0,2017-09-04,3,3.0,4,37.8,4,0,0,0,11.0,0,Санкт-Петербург,26235.0,4937.0,0,490.8307291666667,1,1013.0,98,7050000.0
9,41.9,2017-07-30,1,2.65,7,15.4,7,1,0,0,12.4,2,посёлок Шушары,18240.0,30245.0,0,490.8307291666667,1,264.0,228,3300000.0
